epoch,phase,train_loss,val_loss,val_acc,val_f1,lr
1,warmup,1.9183,1.6159,0.6450,0.6212,0.001
2,warmup,1.5783,1.3745,0.7328,0.7099,0.001
3,warmup,1.4454,1.2648,0.7290,0.7165,0.001
4,finetune,1.3822,1.2221,0.7405,0.7276,0.000100
5,finetune,1.2760,1.0412,0.8130,0.8029,0.000550
6,finetune,1.1130,0.9181,0.8473,0.8415,0.001000
1,warmup,1.9183,1.6159,0.6450,0.6212,0.001
2,warmup,1.5783,1.3745,0.7328,0.7099,0.001
3,warmup,1.4454,1.2648,0.7290,0.7165,0.001
4,finetune,1.3822,1.2221,0.7405,0.7276,0.000100
5,finetune,1.2760,1.0412,0.8130,0.8029,0.000550
6,finetune,1.1130,0.9181,0.8473,0.8415,0.001000
7,finetune,0.9849,0.8542,0.8664,0.8688,0.000999
8,finetune,0.9570,0.8352,0.8931,0.8952,0.000997
9,finetune,0.8965,0.8081,0.8893,0.8957,0.000993
10,finetune,0.8681,0.7855,0.9008,0.9034,0.000987
11,finetune,0.8094,0.7733,0.8893,0.8934,0.000980
12,finetune,0.7979,0.7815,0.8893,0.8966,0.000971
13,finetune,0.7960,0.7594,0.9046,0.9098,0.000961
